Receptor_measurement1,Receptor1_Log,Receptor_measurement2,Receptor2_Log,Receptor_measurement3,Receptor_measurement4,Receptor4_Log,Receptor_measurement5,Wind_speed,Wind_speed_reci,Wind_speed_sqr_log,Source_Location_X,Source_Location_Y,Log
0.0025191,-5.197509184,0.0011758,-5.859333088,0.021763,0.00073826,-6.26E+00,6.01E-06,12,0.083333333,2.158362492,100,100,-2.142782124
0.0022688,-5.288407573,0.0010589,-5.950290103,0.019601,0.0006649,-6.35E+00,5.41E-06,9,0.111111111,1.908485019,100,100,-2.438111872
0.003139,-5.006417369,0.0014651,-5.668265463,0.027118,0.00091992,-6.07E+00,7.48E-06,14,0.071428571,2.292256071,100,100,-1.913355479
0.042448,-2.744285535,0.019812,-3.406143361,0.36671,0.01244,-3.81E+00,0.0001012,4,0.25,1.204119983,100,100,-1.870406772
0.0038033,-4.839678833,0.0017751,-5.501554352,0.032858,0.0011146,-5.91E+00,9.07E-06,10,0.1,2,100,100,-2.122231405
0.0016358,-5.572539592,0.00076351,-6.234370541,0.014132,0.00047941,-6.64E+00,3.90E-06,13,0.076923077,2.227886705,100,100,-2.26076003
0.0025049,-5.202419214,0.0011691,-5.864296679,0.02164,0.00073408,-6.27E+00,5.97E-06,17,0.058823529,2.460897843,100,100,-1.84269437
0.0030587,-5.028926234,0.0014276,-5.690786921,0.026425,0.0008964,-6.09E+00,7.29E-06,16,0.0625,2.408239965,100,100,-1.808604883
0.0063921,-4.388712879,0.0029834,-5.050577029,0.055223,0.0018733,-5.45E+00,1.52E-05,11,0.090909091,2.08278537,100,100,-1.813948209
0.1646,-1.567140338,0.076824,-2.229006168,1.422,0.048237,-2.63E+00,0.00039243,2,0.5,0.602059991,100,100,-1.883923828
0.025952,-3.171658335,0.012113,-3.833496566,0.2242,0.0076055,-4.24E+00,6.19E-05,5,0.2,1.397940009,100,100,-1.890286495
0.0043049,-4.732073865,0.0020093,-5.393910432,0.037191,0.0012616,-5.80E+00,1.03E-05,7,0.142857143,1.69019608,100,100,-2.378231902
0.027166,-3.131948607,0.01268,-3.793761493,0.2347,0.0079615,-4.20E+00,6.48E-05,5,0.2,1.397940009,100,100,-1.870406772
0.00033177,-6.958325774,0.00015485,-7.620177581,0.0028662,9.72E-05,-8.02E+00,7.91E-07,17,0.058823529,2.460897843,100,100,-2.720652508
0.0022258,-5.305027724,0.0010389,-5.966852507,0.019229,0.00065231,-6.37E+00,5.31E-06,14,0.071428571,2.292256071,100,100,-2.062642616
0.12664,-1.794858196,0.059109,-2.456692776,1.0941,0.037115,-2.86E+00,0.00030194,2,0.5,0.602059991,100,100,-1.99774752
0.009233,-4.069314329,0.0043094,-4.731166385,0.079766,0.0027059,-5.14E+00,2.20E-05,3,0.333333333,0.954242509,100,100,-2.782805682
0.0013616,-5.731900915,0.00063553,-6.393727888,0.011763,0.00039904,-6.80E+00,3.25E-06,13,0.076923077,2.227886705,100,100,-2.34044507
0.001946,-5.421714328,0.00090829,-6.083550934,0.016812,0.00057031,-6.49E+00,4.64E-06,15,0.066666667,2.352182518,100,100,-2.061055195
0.0018937,-5.445377642,0.00088385,-6.107242867,0.01636,0.00055496,-6.51E+00,4.51E-06,20,0.05,2.602059991,100,100,-1.823041019
0.0042551,-4.742180458,0.001986,-5.404041512,0.036761,0.001247,-5.81E+00,1.01E-05,13,0.076923077,2.227886705,100,100,-1.845606462
0.00047541,-6.645863375,0.00022189,-7.30772454,0.0041072,0.00013933,-7.71E+00,1.13E-06,20,0.05,2.602059991,100,100,-2.423255646
0.052202,-2.564625715,0.024365,-3.226467169,0.45099,0.015299,-3.63E+00,0.00012446,3,0.333333333,0.954242509,100,100,-2.030458291
0.0019726,-5.409921942,0.00092067,-6.071792016,0.017041,0.00057808,-6.48E+00,4.70E-06,16,0.0625,2.408239965,100,100,-1.999132278
