Receptor_measurement1,log Receptor_measurement1,Receptor_measurement1_log,log Receptor_measurement2,Receptor_measurement2,log_log Receptor_measurement3,Receptor_measurement3,Log_receptor4,Receptor_measurement4,Source_Location_X,Log_X,Source location X log,Log y,Source emission rate,Log,Wind speed,Wind spped log,Wind angle,Wind angle log
4.25E-09,-8.37E+00,0.0058532,-2.232606636,0.071468,-1.145888371,0.00013226,-8.371662166,4.25E-09,15,1.176091259,250,2.397940009,0.014365,-1.84269437,9,0.954242509,0,
2.47E-09,-8.61E+00,0.0033982,-2.468751064,0.041492,-1.382035631,7.68E-05,-8.607795644,2.47E-09,15,1.176091259,250,2.397940009,0.0083397,-2.078849572,9,0.954242509,0,
5.87E-09,-8.23E+00,0.0080821,-2.09247578,0.098683,-1.005757656,0.00018262,-8.231532099,5.87E-09,15,1.176091259,250,2.397940009,0.0044077,-2.355787972,2,0.301029996,0,
4.73E-09,-8.33E+00,0.0065122,-2.18627227,0.079514,-1.099556399,0.00014715,-8.325331718,4.73E-09,15,1.176091259,250,2.397940009,0.007103,-2.148558185,4,0.602059991,0,
2.96E-08,-7.53E+00,0.040701,-1.39039492,0.49696,-0.303678566,0.00091968,-7.529442515,2.96E-08,15,1.176091259,250,2.397940009,0.011098,-1.95475528,1,0,0,
7.83E-09,-8.11E+00,0.010786,-1.967139584,0.1317,-0.880414225,0.00024372,-8.10620496,7.83E-09,15,1.176091259,250,2.397940009,0.011764,-1.929444984,4,0.602059991,0,
2.70E-09,-8.57E+00,0.0037213,-2.429305317,0.045437,-1.342590351,8.41E-05,-8.568362877,2.70E-09,15,1.176091259,250,2.397940009,0.0010147,-2.99366234,1,0,0,
1.02E-08,-7.99E+00,0.013984,-1.854368585,0.17074,-0.767664723,0.00031598,-7.993448391,1.02E-08,15,1.176091259,250,2.397940009,0.015252,-1.816673203,4,0.602059991,0,
1.12E-09,-8.95E+00,0.0015466,-2.810621994,0.018885,-1.723883011,3.49E-05,-8.949658918,1.12E-09,15,1.176091259,250,2.397940009,0.0042174,-2.374955206,10,1,0,
8.25E-09,-8.08E+00,0.011367,-1.94435414,0.13879,-0.857641824,0.00025685,-8.08339868,8.25E-09,15,1.176091259,250,2.397940009,0.012399,-1.90661334,4,0.602059991,0,
9.03E-09,-8.04E+00,0.012443,-1.905074899,0.15193,-0.818356462,0.00028116,-8.044134336,9.03E-09,15,1.176091259,250,2.397940009,0.010179,-1.992294886,3,0.477121255,0,
6.06E-09,-8.22E+00,0.0083534,-2.078136722,0.102,-0.991399828,0.00018875,-8.217190677,6.06E-09,15,1.176091259,250,2.397940009,0.013667,-1.864326806,6,0.77815125,0,
1.02E-08,-7.99E+00,0.013984,-1.854368585,0.17074,-0.767664723,0.00031598,-7.993448391,1.02E-08,15,1.176091259,250,2.397940009,0.015252,-1.816673203,4,0.602059991,0,
1.76E-09,-8.75E+00,0.0024291,-2.614554606,0.02966,-1.527828853,5.49E-05,-8.75359991,1.76E-09,15,1.176091259,250,2.397940009,0.0059614,-2.224651737,9,0.954242509,0,
3.00E-09,-8.52E+00,0.0041283,-2.38422875,0.050406,-1.297517765,9.33E-05,-8.523284276,3.00E-09,15,1.176091259,250,2.397940009,0.0067542,-2.170426084,6,0.77815125,0,
2.03E-09,-8.69E+00,0.0027909,-2.554255724,0.034077,-1.467538646,6.31E-05,-8.693296256,2.03E-09,15,1.176091259,250,2.397940009,0.0038052,-2.419622512,5,0.698970004,0,
7.70E-09,-8.11E+00,0.010606,-1.974448377,0.12949,-0.887763769,0.00023964,-8.113520555,7.70E-09,15,1.176091259,250,2.397940009,0.01446,-1.839831707,5,0.698970004,0,
1.59E-09,-8.80E+00,0.0021837,-2.660807026,0.026662,-1.574107276,4.93E-05,-8.799861146,1.59E-09,15,1.176091259,250,2.397940009,0.005359,-2.270916243,9,0.954242509,0,
3.48E-09,-8.46E+00,0.0047969,-2.319039335,0.058571,-1.232317361,0.00010839,-8.458096404,3.48E-09,15,1.176091259,250,2.397940009,0.010464,-1.980302269,8,0.903089987,0,
2.74E-08,-7.56E+00,0.037678,-1.423912158,0.46005,-0.337194965,0.00085136,-7.562979157,2.74E-08,15,1.176091259,250,2.397940009,0.010274,-1.988260439,1,0,0,
1.40E-08,-7.85E+00,0.019304,-1.714352691,0.2357,-0.627640417,0.00043619,-7.853406898,1.40E-08,15,1.176091259,250,2.397940009,0.010528,-1.977654124,2,0.301029996,0,
1.11E-08,-7.95E+00,0.01535,-1.81389162,0.18743,-0.727160895,0.00034685,-7.952958897,1.11E-08,15,1.176091259,250,2.397940009,0.0041857,-2.378231902,1,0,0,
2.25E-09,-8.65E+00,0.003101,-2.508498234,0.037864,-1.421773509,7.01E-05,-8.647547338,2.25E-09,15,1.176091259,250,2.397940009,0.0025368,-2.595713771,3,0.477121255,0,
9.67E-09,-8.01E+00,0.013315,-1.875658829,0.16258,-0.788932881,0.00030087,-8.014712774,9.67E-09,15,1.176091259,250,2.397940009,0.014523,-1.837943663,4,0.602059991,0,
4.98E-09,-8.30E+00,0.0068611,-2.163606251,0.083774,-1.076890748,0.00015503,-8.302666021,4.98E-09,15,1.176091259,250,2.397940009,0.0037418,-2.426919429,2,0.301029996,0,
4.96E-09,-8.30E+00,0.006832,-2.165452142,0.083419,-1.078735021,0.00015438,-8.304509568,4.96E-09,15,1.176091259,250,2.397940009,0.0074518,-2.12773881,4,0.602059991,0,
1.54E-08,-7.81E+00,0.021165,-1.674381727,0.25842,-0.587673878,0.00047824,-7.813439171,1.54E-08,15,1.176091259,250,2.397940009,0.011542,-1.93771893,2,0.301029996,0,
8.13E-09,-8.09E+00,0.011193,-1.951053496,0.13666,-0.864358584,0.00025291,-8.090117838,8.13E-09,15,1.176091259,250,2.397940009,0.012208,-1.913355479,4,0.602059991,0,
6.71E-09,-8.17E+00,0.009245,-2.034093085,0.11288,-0.947382999,0.0002089,-8.173148052,6.71E-09,15,1.176091259,250,2.397940009,0.0050419,-2.297405772,2,0.301029996,0,
7.36E-10,-9.13E+00,0.0010134,-2.9942191,0.012373,-1.907524987,2.29E-05,-9.133287438,7.36E-10,15,1.176091259,250,2.397940009,0.0019343,-2.713476168,7,0.84509804,0,
