Receptor_measurement1,Receptor1_Log,Receptor_measurement2,Receptor2_Log,Receptor_measurement3,Receptor_measurement4,Receptor4_Log,Receptor_measurement5,Wind_speed,Wind_speed_reci,Source_Location_X,Source_Location_Y,Source_Emission_rate
0.00031981,-6.990215921,0.00010005,-7.999565814,0.00068109,5.36E-05,-8.54E+00,1.85E-07,6,0.166666667,70,70,0.00015855
2.28E-05,-9.284130306,0.00055878,-6.505518293,4.49E-12,0.00071887,-6.29E+00,7.19E-05,16,0.0625,180,180,0.010401
0.0025191,-5.197509184,0.0011758,-5.859333088,0.021763,0.00073826,-6.26E+00,6.01E-06,12,0.083333333,100,100,0.0071981
5.84E-21,-40.46717431,1.63E-05,-9.575624791,0,0.00024345,-7.23E+00,0.0016326,8,0.125,300,300,0.0025051
3.05E-16,-31.03140032,4.06E-06,-10.78294793,3.67E-276,5.65E-05,-8.50E+00,0.00056984,15,0.066666667,220,323,0.0028856
0.017269,-3.525465621,0.0054027,-4.534778294,0.036779,0.0028937,-5.08E+00,1.00E-05,8,0.125,70,70,0.015221
0.00048215,-6.633635658,0.012082,-3.835722337,5.90E-11,0.015558,-3.62E+00,0.0015439,4,0.25,181,180,0.014047
0.0022688,-5.288407573,0.0010589,-5.950290103,0.019601,0.0006649,-6.35E+00,5.41E-06,9,0.111111111,100,100,0.0036466
1.21E-18,-35.83442926,0.0033772,-4.942886439,0,0.050292,-2.60E+00,0.33728,1,1,300,300,0.008086
1.25E-05,-9.806179974,0.00044887,-6.695758839,6.10E-08,0.00081363,-6.18E+00,0.00052463,11,0.090909091,74,222,0.0076738
0.0019572,-5.416729586,0.00061231,-6.426057296,0.0041683,0.00032795,-6.97E+00,1.13E-06,20,0.05,70,70,0.010781
0.0048778,-4.623552021,0.1195,-1.845264189,9.59E-10,0.15373,-1.63E+00,0.015367,1,1,180,180,0.0086885
