Receptor_measurement1,Receptor_measurement2,Receptor_measurement3,Receptor_measurement4,Receptor_measurement5,Wind_speed,Wind_speed_reci,Wind_speed_sqr_log,Source_Emission_rate
0.00031981,0.00010005,0.00068109,5.36E-05,1.85E-07,6,0.166666667,1.556302501,0.00015855
2.28E-05,0.00055878,4.49E-12,0.00071887,7.19E-05,16,0.0625,2.408239965,0.010401
0.0025191,0.0011758,0.021763,0.00073826,6.01E-06,12,0.083333333,2.158362492,0.0071981
5.84E-21,1.63E-05,0,0.00024345,0.0016326,8,0.125,1.806179974,0.0025051
3.05E-16,4.06E-06,3.67E-276,5.65E-05,0.00056984,15,0.066666667,2.352182518,0.0028856
0.017269,0.0054027,0.036779,0.0028937,1.00E-05,8,0.125,1.806179974,0.015221
0.00048215,0.012082,5.90E-11,0.015558,0.0015439,4,0.25,1.204119983,0.014047
0.0022688,0.0010589,0.019601,0.0006649,5.41E-06,9,0.111111111,1.908485019,0.0036466
1.21E-18,0.0033772,0,0.050292,0.33728,1,1,0,0.008086
1.25E-05,0.00044887,6.10E-08,0.00081363,0.00052463,11,0.090909091,2.08278537,0.0076738
0.0019572,0.00061231,0.0041683,0.00032795,1.13E-06,20,0.05,2.602059991,0.010781
0.0048778,0.1195,9.59E-10,0.15373,0.015367,1,1,0,0.0086885
0.003139,0.0014651,0.027118,0.00091992,7.48E-06,14,0.071428571,2.292256071,0.012208
3.67E-20,0.00010277,0,0.0015305,0.010264,5,0.2,1.397940009,0.0061517
1.93E-06,0.00021767,1.10E-09,0.00052184,0.00071338,17,0.058823529,2.460897843,0.014491
0.0034113,0.0010672,0.007265,0.0005716,1.98E-06,18,0.055555556,2.51054501,0.015221
1.39E-05,0.00034018,2.73E-12,0.00043764,4.37E-05,10,0.1,2,0.0024734
0.042448,0.019812,0.36671,0.01244,0.0001012,4,0.25,1.204119983,0.013477
1.40E-18,0.003907,0,0.058181,0.39018,1,1,0,0.0093544
1.96E-13,4.36E-06,2.07E-59,4.66E-05,0.00043503,12,0.083333333,2.158362492,0.0015855
0.016054,0.0050225,0.034191,0.0026901,9.31E-06,6,0.166666667,1.556302501,0.0079592
1.90E-05,0.00046641,3.74E-12,0.00060003,6.00E-05,12,0.083333333,2.158362492,0.0048833
0.0038033,0.0017751,0.032858,0.0011146,9.07E-06,10,0.1,2,0.0075469
8.28E-20,0.00023177,0,0.0034514,0.023146,4,0.25,1.204119983,0.0088787
0.043728,0.0047739,0,0.0017441,2.00E-09,4,0.25,1.204119983,0.002188
0.82433,0.25789,1.7556,0.13813,0.00047795,1,1,0,0.011352
9.71E-06,0.00023789,1.91E-12,0.00030604,3.06E-05,11,0.090909091,2.08278537,0.0020928
0.0016358,0.00076351,0.014132,0.00047941,3.90E-06,13,0.076923077,2.227886705,0.0054858
6.86E-20,0.00019204,0,0.0028598,0.019178,4,0.25,1.204119983,0.0073567
3.14E-18,2.12E-05,0,0.0005793,0.011532,8,0.125,1.806179974,0.015126
0.057853,0.018099,0.12321,0.0096939,3.35E-05,4,0.25,1.204119983,0.012747
6.10E-06,0.00014937,1.20E-12,0.00019217,1.92E-05,20,0.05,2.602059991,0.0043442
0.0025049,0.0011691,0.02164,0.00073408,5.97E-06,17,0.058823529,2.460897843,0.014365
1.74E-20,4.87E-05,0,0.0007245,0.0048587,7,0.142857143,1.69019608,0.0057078
0.0079698,0.0022525,2.97E-43,0.0011244,2.33E-07,10,0.1,2,0.0069444
0.00023386,7.32E-05,0.00049805,3.92E-05,1.36E-07,16,0.0625,2.408239965,0.00082445
0.00011015,0.0026985,2.17E-11,0.0034716,0.00034703,8,0.125,1.806179974,0.012557
0.0030587,0.0014276,0.026425,0.0008964,7.29E-06,16,0.0625,2.408239965,0.015538
2.05E-19,0.00057538,0,0.0085683,0.057462,3,0.333333333,0.954242509,0.012399
