Receptor_measurement1,,Receptor_measurement2,,Receptor_measurement4,,Receptor_measurement5,,wind speed log,Wind_speed,,Source_Location_X,,Source_Location_Y,
0.00031981,-3.495107961,0.00010005,-3.999782907,5.36E-05,-4.27E+00,1.85E-07,-6.73E+00,7.78E-01,6,1.84509804,70,1.84509804,70,-3.799833754
2.28E-05,-4.642065153,0.00055878,-3.252759147,0.00071887,-3.14E+00,7.19E-05,-4.14E+00,1.20E+00,16,2.255272505,180,2.255272505,180,-1.982924904
0.0025191,-2.598754592,0.0011758,-2.929666544,0.00073826,-3.13E+00,6.01E-06,-5.22E+00,1.08E+00,12,2,100,2,100,-2.142782124
5.84E-21,-20.23358715,1.63E-05,-4.787812396,0.00024345,-3.61E+00,0.0016326,-2.79E+00,9.03E-01,8,2.477121255,300,2.477121255,300,-2.601174933
3.05E-16,-15.51570016,4.06E-06,-5.391473966,5.65E-05,-4.25E+00,0.00056984,-3.24E+00,1.18E+00,15,2.342422681,220,2.509202522,323,-2.539763871
0.017269,-1.76273281,0.0054027,-2.267389147,0.0028937,-2.54E+00,1.00E-05,-5.00E+00,9.03E-01,8,1.84509804,70,1.84509804,70,-1.817556814
0.00048215,-3.316817829,0.012082,-1.917861169,0.015558,-1.81E+00,0.0015439,-2.81E+00,6.02E-01,4,2.257678575,181,2.255272505,180,-1.852416418
0.0022688,-2.644203786,0.0010589,-2.975145052,0.0006649,-3.18E+00,5.41E-06,-5.27E+00,9.54E-01,9,2,100,2,100,-2.438111872
1.21E-18,-17.91721463,0.0033772,-2.471443219,0.050292,-1.30E+00,0.33728,-4.72E-01,0.00E+00,1,2.477121255,300,2.477121255,300,-2.092266263
1.25E-05,-4.903089987,0.00044887,-3.347879419,0.00081363,-3.09E+00,0.00052463,-3.28E+00,1.04E+00,11,1.86923172,74,2.346352974,222,-2.114989524
0.0019572,-2.708364793,0.00061231,-3.213028648,0.00032795,-3.48E+00,1.13E-06,-5.95E+00,1.30E+00,20,1.84509804,70,1.84509804,70,-1.967340954
0.0048778,-2.311776011,0.1195,-0.922632095,0.15373,-8.13E-01,0.015367,-1.81E+00,0.00E+00,1,2.255272505,180,2.255272505,180,-2.061055195
0.003139,-2.503208684,0.0014651,-2.834132732,0.00091992,-3.04E+00,7.48E-06,-5.13E+00,1.15E+00,14,2,100,2,100,-1.913355479
3.67E-20,-19.43533394,0.00010277,-3.988133643,0.0015305,-2.82E+00,0.010264,-1.99E+00,6.99E-01,5,2.477121255,300,2.477121255,300,-2.211004852
1.93E-06,-5.714442691,0.00021767,-3.662201423,0.00052184,-3.28E+00,0.00071338,-3.15E+00,1.23E+00,17,1.740362689,55,2.397940009,250,-1.838901644
0.0034113,-2.467080086,0.0010672,-2.971754183,0.0005716,-3.24E+00,1.98E-06,-5.70E+00,1.26E+00,18,1.84509804,70,1.84509804,70,-1.817556814
1.39E-05,-4.8569852,0.00034018,-3.468291223,0.00043764,-3.36E+00,4.37E-05,-4.36E+00,1.00E+00,10,2.255272505,180,2.255272505,180,-2.606705644
0.042448,-1.372142767,0.019812,-1.703071681,0.01244,-1.91E+00,0.0001012,-3.99E+00,6.02E-01,4,2,100,2,100,-1.870406772
1.40E-18,-17.85387196,0.003907,-2.408156589,0.058181,-1.24E+00,0.39018,-4.09E-01,0.00E+00,1,2.477121255,300,2.477121255,300,-2.028984063
1.96E-13,-12.70774393,4.36E-06,-5.360513511,4.66E-05,-4.33E+00,0.00043503,-3.36E+00,1.08E+00,12,2.206825876,161,2.515873844,328,-2.799833754
0.016054,-1.794416741,0.0050225,-2.299080055,0.0026901,-2.57E+00,9.31E-06,-5.03E+00,7.78E-01,6,1.84509804,70,1.84509804,70,-2.099130582
1.90E-05,-4.721246399,0.00046641,-3.331232147,0.00060003,-3.22E+00,6.00E-05,-4.22E+00,1.08E+00,12,2.255272505,180,2.255272505,180,-2.311286595
0.0038033,-2.419839417,0.0017751,-2.750777176,0.0011146,-2.95E+00,9.07E-06,-5.04E+00,1.00E+00,10,2,100,2,100,-2.122231405
8.28E-20,-19.08196966,0.00023177,-3.634942779,0.0034514,-2.46E+00,0.023146,-1.64E+00,6.02E-01,4,2.477121255,300,2.477121255,300,-2.051650618
