Receptor_measurement1,Receptor_measurement2,Receptor_measurement3,Receptor_measurement4,Receptor_measurement5,Source_Location_X,Source_Location_Y,Source_Emission_rate,Wind_speed,wind_angle
0.013154,0.0066285,0.080934,0.00014978,0.013154,100,50,0.012874,3,0
0.00035639,0.00015505,0.0018932,3.50E-06,0.00035639,100,50,0.00034881,3,0
0.0048235,0.0048841,0.059636,0.00011036,0.0048235,100,50,0.012589,8,0
0.00098171,0.0052795,0.064463,0.0001193,0.00098171,100,50,0.0032027,10,0
0.0031468,0.00066866,0.0081644,1.51E-05,0.0031468,100,50,0.0082128,8,0
0.00076544,0.0034305,0.041887,7.75E-05,0.00076544,100,50,0.0019977,8,0
0.017641,0.013141,0.16045,0.00029693,0.017641,100,50,0.011511,2,0
0.0069659,0.0076557,0.093476,0.00017299,0.0069659,100,50,0.013635,6,0
0.00075329,0.005015,0.061233,0.00011332,0.00075329,100,50,0.001966,8,0
0.0020169,0.0066285,0.080934,0.00014978,0.0020169,100,50,0.0052638,8,0
0.00065609,0.0018461,0.022541,4.17E-05,0.00065609,100,50,0.0017123,8,0
0.037616,0.017909,0.21866,0.00040466,0.037616,100,50,0.012272,1,0
0.013802,0.0050004,0.061055,0.00011299,0.013802,100,50,0.013508,3,0
0.0058319,0.02163,0.2641,0.00048875,0.0058319,100,50,0.0038052,2,0
0.0083979,0.00067448,0.0082354,1.52E-05,0.0083979,100,50,0.013699,5,0
0.010376,0.0018897,0.023073,4.27E-05,0.010376,100,50,0.01354,4,0
0.013608,0.014943,0.18246,0.00033766,0.013608,100,50,0.0088787,2,0
0.0052244,0.0011193,0.013666,2.53E-05,0.0052244,100,50,0.013635,8,0
0.00243,0.033142,0.40467,0.00074889,0.00243,100,50,0.00079274,1,0
0.0037713,0.0029305,0.035781,6.62E-05,0.0037713,100,50,0.012303,10,0
0.0071441,0.0092159,0.11253,0.00020824,0.0071441,100,50,0.0093227,4,0
0.0018856,0.00074425,0.0090873,1.68E-05,0.0018856,100,50,0.0030758,5,0
0.0019579,0.00089709,0.010953,2.03E-05,0.0019579,100,50,0.0044711,7,0
0.027702,0.045004,0.5495,0.0010169,0.027702,100,50,0.0090373,1,0
0.0066289,0.008931,0.10905,0.00020181,0.0066289,100,50,0.010813,5,0
0.04267,0.040585,0.49554,0.00091706,0.04267,100,50,0.013921,1,0
0.0050759,0.0038246,0.046699,8.64E-05,0.0050759,100,50,0.014904,9,0
0.0078002,0.0019188,0.023428,4.34E-05,0.0078002,100,50,0.010179,4,0
0.0082035,0.010792,0.13177,0.00024385,0.0082035,100,50,0.013382,5,0
0.0014688,0.0040314,0.049223,9.11E-05,0.0014688,100,50,0.0043125,9,0
0.00095255,0.011559,0.14114,0.00026119,0.00095255,100,50,0.0015538,5,0
0.0078083,0.0076945,0.09395,0.00017386,0.0078083,100,50,0.015284,6,0
0.0040532,0.0038143,0.046573,8.62E-05,0.0040532,100,50,0.013223,10,0
0.0017172,0.0062925,0.076832,0.00014219,0.0017172,100,50,0.0050419,9,0
0.0001296,0.0060083,0.073361,0.00013576,0.0001296,100,50,0.00025368,6,0
