Receptor_measurement1,Receptor_measurement2,Receptor_measurement4,Receptor_measurement5,Wind_speed,Source_Location_X,Source_Location_Y
0.00031981,0.00010005,5.36E-05,1.85E-07,6,70,70
2.28E-05,0.00055878,0.00071887,7.19E-05,16,180,180
0.0025191,0.0011758,0.00073826,6.01E-06,12,100,100
5.84E-21,1.63E-05,0.00024345,0.0016326,8,300,300
3.05E-16,4.06E-06,5.65E-05,0.00056984,15,220,323
0.017269,0.0054027,0.0028937,1.00E-05,8,70,70
0.00048215,0.012082,0.015558,0.0015439,4,181,180
0.0022688,0.0010589,0.0006649,5.41E-06,9,100,100
1.21E-18,0.0033772,0.050292,0.33728,1,300,300
1.25E-05,0.00044887,0.00081363,0.00052463,11,74,222
0.0019572,0.00061231,0.00032795,1.13E-06,20,70,70
0.0048778,0.1195,0.15373,0.015367,1,180,180
0.003139,0.0014651,0.00091992,7.48E-06,14,100,100
3.67E-20,0.00010277,0.0015305,0.010264,5,300,300
1.93E-06,0.00021767,0.00052184,0.00071338,17,55,250
0.0034113,0.0010672,0.0005716,1.98E-06,18,70,70
1.39E-05,0.00034018,0.00043764,4.37E-05,10,180,180
0.042448,0.019812,0.01244,0.0001012,4,100,100
1.40E-18,0.003907,0.058181,0.39018,1,300,300
1.96E-13,4.36E-06,4.66E-05,0.00043503,12,161,328
0.016054,0.0050225,0.0026901,9.31E-06,6,70,70
1.90E-05,0.00046641,0.00060003,6.00E-05,12,180,180
0.0038033,0.0017751,0.0011146,9.07E-06,10,100,100
8.28E-20,0.00023177,0.0034514,0.023146,4,300,300
0.043728,0.0047739,0.0017441,2.00E-09,4,323,49
0.82433,0.25789,0.13813,0.00047795,1,70,70
9.71E-06,0.00023789,0.00030604,3.06E-05,11,180,180
0.0016358,0.00076351,0.00047941,3.90E-06,13,100,100
6.86E-20,0.00019204,0.0028598,0.019178,4,300,300
3.14E-18,2.12E-05,0.0005793,0.011532,8,222,354
0.057853,0.018099,0.0096939,3.35E-05,4,70,70
6.10E-06,0.00014937,0.00019217,1.92E-05,20,180,180
0.0025049,0.0011691,0.00073408,5.97E-06,17,100,100
1.74E-20,4.87E-05,0.0007245,0.0048587,7,300,300
0.0079698,0.0022525,0.0011244,2.33E-07,10,250,82
0.00023386,7.32E-05,3.92E-05,1.36E-07,16,70,70
0.00011015,0.0026985,0.0034716,0.00034703,8,180,180
0.0030587,0.0014276,0.0008964,7.29E-06,16,100,100
2.05E-19,0.00057538,0.0085683,0.057462,3,300,300
7.03E-26,1.77E-05,0.00034683,0.0026757,14,328,302
0.01271,0.0039764,0.0021298,7.37E-06,5,70,70
1.10E-05,0.0002704,0.00034786,3.48E-05,20,180,180
0.0063921,0.0029834,0.0018733,1.52E-05,11,100,100
5.20E-22,1.46E-06,2.17E-05,0.00014549,10,300,300
2.72E-12,1.43E-05,0.00025746,0.0048082,9,49,397
0.00073574,0.00023017,0.00012328,4.27E-07,13,70,70
0.00023786,0.0058271,0.0074965,0.00074936,6,180,180
0.1646,0.076824,0.048237,0.00039243,2,100,100
2.09E-21,5.86E-06,8.73E-05,0.00058527,20,300,300
4.64E-44,7.04E-06,0.00070328,0.0254,5,354,349
0.0099623,0.0031167,0.0016693,5.78E-06,7,70,70
1.65E-05,0.00040443,0.0005203,5.20E-05,17,180,180
0.025952,0.012113,0.0076055,6.19E-05,5,100,100
6.76E-21,1.89E-05,0.00028198,0.0018911,11,300,300
2.34E-05,0.0016253,0.0032952,0.002685,7,82,231
0.23256,0.072756,0.038969,0.00013484,1,70,70
1.48E-05,0.00036344,0.00046756,4.67E-05,12,180,180
0.0043049,0.0020093,0.0012616,1.03E-05,7,100,100
1.31E-20,3.68E-05,0.00054766,0.0036728,11,300,300
3.70E-09,6.40E-05,0.0001057,4.75E-06,20,302,187
0.0056286,0.0017609,0.00094313,3.26E-06,6,70,70
2.22E-05,0.00054273,0.00069822,6.98E-05,15,180,180
0.027166,0.01268,0.0079615,6.48E-05,5,100,100
1.75E-20,4.90E-05,0.00072973,0.0048938,10,300,300
1.74E-92,2.32E-06,0.0019796,0.222,2,397,388
0.16061,0.050245,0.026911,9.31E-05,2,70,70
6.50E-05,0.0015919,0.0020479,0.00020471,10,180,180
0.00033177,0.00015485,9.72E-05,7.91E-07,17,100,100
1.44E-19,0.00040312,0.006003,0.040258,4,300,300
0.00052135,0.016933,0.012204,3.47E-06,5,349,126
0.002648,0.00082841,0.0004437,1.54E-06,20,70,70
2.72E-05,0.00066727,0.00085844,8.58E-05,10,180,180
0.0022258,0.0010389,0.00065231,5.31E-06,14,100,100
8.09E-21,2.26E-05,0.00033725,0.0022617,10,300,300
0.00052582,0.00012816,6.20E-05,1.35E-08,10,231,75
0.14622,0.045743,0.0245,8.48E-05,2,70,70
2.09E-05,0.00051285,0.00065978,6.60E-05,18,180,180
0.12664,0.059109,0.037115,0.00030194,2,100,100
8.54E-21,2.39E-05,0.00035594,0.002387,13,300,300
6.22E-09,0.00052347,0.0021772,0.0042938,3,187,265
0.0028603,0.00089484,0.00047928,1.66E-06,17,70,70
3.05E-05,0.00074841,0.00096283,9.62E-05,9,180,180
0.009233,0.0043094,0.0027059,2.20E-05,3,100,100
7.84E-21,2.20E-05,0.00032703,0.0021932,14,300,300
4.00E-71,2.12E-07,5.43E-05,0.0033323,17,388,361
0.20723,0.064832,0.034724,0.00012015,2,70,70
0.00025368,0.0062148,0.0079953,0.00079921,2,180,180
0.0013616,0.00063553,0.00039904,3.25E-06,13,100,100
4.29E-20,0.00012026,0.0017908,0.01201,5,300,300
