Receptor_measurement1,Receptor_measurement2,Receptor_measurement3,Receptor_measurement4,Receptor_measurement5,Source_Location_X,Source_Location_Y,Source_Emission_rate,Wind_speed,wind_angle
3.45E-06,0.00068164,5.12E-05,0.023678,3.45E-06,46,204,0.01262,9,0
0.013578,0.0009594,2.13E-05,0.86603,0.013578,11,177,0.0098617,2,0
2.97E-15,0.001167,0.028611,1.77E-08,2.97E-15,43,269,0.0017123,9,0
1.11E-08,0.0019266,0.018125,0.00016227,1.11E-08,12,244,0.0038052,6,0
8.17E-16,0.047067,1.3802,9.56E-09,8.17E-16,35,288,0.0088153,2,0
1.61E-05,0.00024496,1.71E-05,0.023568,1.61E-05,35,198,0.0047882,8,0
0.54013,1.52E-06,1.04E-16,0.021938,0.54013,23,89,0.010306,6,0
0.49482,1.45E-06,7.14E-17,0.025016,0.49482,28,93,0.0056443,4,0
1.1095,7.54E-07,1.63E-23,0.002482,1.1095,47,71,0.012906,2,0
8.73E-05,3.61E-10,5.48E-35,1.12E-09,8.73E-05,43,21,0.0012367,7,0
0.31958,3.77E-06,1.13E-13,0.080998,0.31958,19,109,0.010147,10,0
9.99E-13,0.0050294,0.075853,1.88E-06,9.99E-13,44,257,0.0097032,8,0
0.54297,2.27E-06,6.58E-15,0.023091,0.54297,1,82,0.014301,6,0
2.23E-05,2.72E-10,1.80E-36,1.16E-10,2.23E-05,39,8,0.0028856,8,0
0.78905,6.43E-06,1.34E-13,0.114,0.78905,12,101,0.014935,6,0
0.50048,2.67E-05,2.38E-10,0.3731,0.50048,1,121,0.0047882,2,0
2.02E-08,0.0009796,0.00090897,0.0010322,2.02E-08,45,223,0.0051687,6,0
0.082613,4.15E-05,1.14E-08,0.32032,0.082613,4,143,0.0089739,8,0
1.27E-18,0.16855,5.0897,2.56E-10,1.27E-18,46,296,0.013033,1,0
0.00013783,1.20E-09,7.31E-30,7.31E-09,0.00013783,14,5,0.0063102,9,0
0.016879,1.13E-08,3.06E-27,1.09E-05,0.016879,47,60,0.0023148,10,0
8.90E-05,2.14E-09,4.15E-37,2.19E-10,8.90E-05,40,2,0.0051687,1,0
0.025398,2.80E-08,3.30E-22,0.00011749,0.025398,31,69,0.0010147,6,0
3.09E-08,0.0051575,0.010308,0.0019166,3.09E-08,41,229,0.013794,4,0
0.096688,1.29E-07,1.67E-24,5.44E-05,0.096688,27,44,0.0096398,2,0
9.76E-17,0.017703,0.45054,9.61E-10,9.76E-17,29,296,0.012177,9,0
0.00027447,1.61E-09,8.23E-29,2.38E-08,0.00027447,14,11,0.0056443,10,0
0.30185,4.37E-07,1.60E-19,0.002706,0.30185,25,73,0.004915,3,0
3.05E-15,0.053612,1.1653,8.09E-09,3.05E-15,18,299,0.0038052,1,0
1.1609,1.39E-05,1.87E-12,0.23256,1.1609,6,104,0.011701,3,0
0.25809,1.14E-06,1.24E-16,0.028693,0.25809,35,103,0.0066273,10,0
0.00044941,4.90E-05,1.24E-07,0.069562,0.00044941,34,176,0.0031393,9,0
1.22E-10,0.013249,0.28664,6.98E-06,1.22E-10,2,273,0.015791,9,0
2.03E-12,0.029718,0.56759,4.16E-06,2.03E-12,41,262,0.012018,2,0
5.56E-10,0.0013866,0.0094597,5.24E-05,5.56E-10,33,242,0.0043125,8,0
0.00036809,2.99E-09,2.02E-28,2.97E-08,0.00036809,9,5,0.0085616,6,0
0.55889,1.78E-05,3.60E-14,0.70409,0.55889,49,127,0.0057078,2,0
0.038047,3.78E-08,1.43E-23,6.98E-05,0.038047,32,60,0.0028222,6,0
6.46E-09,0.0019358,0.0061963,0.0003873,6.46E-09,37,233,0.0010781,1,0
1.73E-06,0.00025038,5.69E-05,0.006221,1.73E-06,35,207,0.0020294,5,0
8.52E-08,0.00010585,3.85E-05,0.00087921,8.52E-08,40,213,0.0012367,9,0
0.20155,6.29E-06,2.07E-13,0.1824,0.20155,35,124,0.0036466,4,0
0.0020398,0.00023794,1.07E-06,0.28625,0.0020398,30,177,0.01224,8,0
0.63962,0.00022105,3.29E-10,4.1545,0.63962,39,143,0.010686,1,0
3.50E-17,0.012598,0.32683,4.72E-10,3.50E-17,31,296,0.0048199,5,0
0.0037881,4.56E-09,1.19E-28,7.40E-07,0.0037881,38,42,0.0029807,10,0
0.063082,1.32E-07,8.39E-21,0.00013147,0.063082,4,43,0.014745,6,0
0.16987,3.88E-07,7.03E-18,0.0016588,0.16987,3,63,0.01446,9,0
2.17E-19,0.0055913,0.14822,1.56E-11,2.17E-19,39,299,0.0032027,8,0
0.13228,2.08E-05,2.01E-11,0.43322,0.13228,34,137,0.01316,10,0
5.56E-11,0.033533,0.44115,4.25E-05,5.56E-11,40,254,0.0088153,1,0
1.38E-10,0.0026344,0.01375,5.17E-05,1.38E-10,45,241,0.0067859,6,0
0.013781,2.45E-08,2.60E-22,2.31E-05,0.013781,11,45,0.001966,4,0
2.65E-14,0.0069567,0.18809,4.21E-08,2.65E-14,26,281,0.0038686,5,0
0.88509,6.02E-05,3.09E-10,0.95873,0.88509,11,126,0.014491,3,0
0.087718,1.53E-07,1.21E-19,0.0023933,0.087718,38,90,0.0016806,7,0
0.0011131,6.62E-09,8.27E-34,1.19E-08,0.0011131,40,16,0.01335,3,0
0.45508,2.53E-06,8.34E-15,0.043919,0.45508,16,97,0.0069762,5,0
0.00078954,0.012122,0.012346,0.35026,0.00078954,1,208,0.014333,1,0
0.0094022,1.25E-08,7.35E-32,4.08E-07,0.0094022,49,38,0.0070079,4,0
1.69E-11,0.011972,0.10824,2.40E-05,1.69E-11,48,249,0.015538,4,0
0.025266,8.59E-06,8.59E-12,0.17059,0.025266,41,143,0.0030124,7,0
0.012971,2.32E-08,2.10E-21,3.59E-05,0.012971,9,50,0.0020928,7,0
0.0057513,0.0001937,4.88E-07,0.38734,0.0057513,26,171,0.014491,9,0
1.78E-08,0.00046495,0.00041933,0.00065206,1.78E-08,43,222,0.0016806,4,0
0.13421,2.24E-05,4.61E-11,0.42003,0.13421,30,137,0.0092275,7,0
0.18807,1.20E-06,9.30E-16,0.030349,0.18807,31,106,0.0041223,8,0
0.006533,0.00020414,2.54E-07,0.49124,0.006533,31,170,0.0095446,5,0
3.65E-05,5.37E-10,7.61E-34,4.24E-10,3.65E-05,27,2,0.0071664,10,0
0.27437,2.16E-05,1.82E-10,0.32104,0.27437,9,127,0.012589,8,0
0.21734,3.42E-07,2.09E-20,0.0073595,0.21734,50,96,0.0048199,10,0
0.31256,2.90E-07,4.22E-22,0.0011528,0.31256,37,70,0.015601,8,0
0.0017033,2.35E-09,1.60E-25,1.29E-06,0.0017033,24,45,0.00072933,10,0
2.58E-08,0.0068805,0.050952,0.00064866,2.58E-08,21,241,0.0052321,2,0
0.039956,9.21E-05,5.26E-09,0.75342,0.039956,33,155,0.01002,5,0
0.7698,0.00021625,2.60E-08,2.0485,0.7698,4,138,0.0077055,1,0
0.00069007,7.59E-09,6.70E-32,1.17E-08,0.00069007,26,5,0.014808,2,0
