Source_Location_X,Source_Location_Y,Source_Emission_rate
70,70,0.00015855
180,180,0.010401
100,100,0.0071981
300,300,0.0025051
220,323,0.0028856
70,70,0.015221
181,180,0.014047
100,100,0.0036466
300,300,0.008086
74,222,0.0076738
70,70,0.010781
180,180,0.0086885
100,100,0.012208
300,300,0.0061517
55,250,0.014491
70,70,0.015221
180,180,0.0024734
100,100,0.013477
300,300,0.0093544
161,328,0.0015855
70,70,0.0079592
180,180,0.0048833
100,100,0.0075469
300,300,0.0088787
323,49,0.002188
70,70,0.011352
180,180,0.0020928
100,100,0.0054858
300,300,0.0073567
222,354,0.015126
70,70,0.012747
180,180,0.0043442
100,100,0.014365
300,300,0.0057078
250,82,0.0069444
70,70,0.00082445
180,180,0.012557
100,100,0.015538
300,300,0.012399
328,302,0.011511
70,70,0.004376
180,180,0.007864
100,100,0.015348
300,300,0.00034881
49,397,0.014555
70,70,0.0017123
180,180,0.015252
100,100,0.013064
300,300,0.0056126
354,349,0.0085616
70,70,0.0067225
180,180,0.0084982
100,100,0.012874
300,300,0.0054858
82,231,0.013191
70,70,0.0032027
180,180,0.0038052
100,100,0.0041857
300,300,0.010654
302,187,0.0020294
70,70,0.0027905
180,180,0.0088787
100,100,0.013477
300,300,0.011733
397,388,0.014016
70,70,0.008847
180,180,0.011574
100,100,0.0019026
300,300,0.015443
349,126,0.012906
70,70,0.014587
180,180,0.0048516
100,100,0.0086568
300,300,0.0054224
231,75,0.00041223
70,70,0.0080543
180,180,0.012081
100,100,0.010052
300,300,0.0096715
187,265,0.001966
70,70,0.011384
180,180,0.0044077
100,100,0.0016489
300,300,0.010306
388,361,0.011733
70,70,0.011416
180,180,0.0018075
100,100,0.0045662
300,300,0.0071981
126,183,0.0057078
70,70,0.012272
180,180,0.0045345
100,100,0.0086885
300,300,0.0042491
75,38,0.0094812
70,70,0.0046296
180,180,0.012716
100,100,0.01503
300,300,0.0014904
265,330,0.0037735
70,70,0.0038052
180,180,0.01075
100,100,0.014269
300,300,0.010781
361,348,0.0054224
70,70,0.010211
180,180,0.010211
100,100,0.0037735
300,300,0.011669
183,255,0.003171
70,70,0.0010781
180,180,0.0026636
100,100,0.0093227
300,300,0.0073884
38,55,0.0044394
70,70,0.0071981
180,180,0.0011098
100,100,0.01002
300,300,0.01113
330,28,0.006881
70,70,0.0097983
180,180,0.0079909
100,100,0.0033612
300,300,0.0055175
348,42,0.0056443
70,70,0.013508
180,180,0.015157
100,100,0.0050736
300,300,0.010147
255,326,0.014365
70,70,0.011859
180,180,0.013952
100,100,0.0079592
300,300,0.0056443
55,181,0.011891
70,70,0.010623
180,180,0.0084665
100,100,0.010813
300,300,0.0096715
28,299,0.0028539
70,70,0.0018392
180,180,0.010876
100,100,0.014808
300,300,0.015474
42,300,0.01316
70,70,0.011479
180,180,0.0025368
100,100,0.00019026
300,300,0.00012684
326,116,0.0048199
70,70,0.013191
180,180,0.011733
100,100,0.0083397
300,300,0.011764
181,141,0.0030124
70,70,0.01446
180,180,0.0032344
100,100,0.011701
300,300,0.0042174
299,313,0.012399
70,70,0.0043125
180,180,0.001744
100,100,0.010306
300,300,0.013445
300,114,0.01484
70,70,0.0068493
180,180,0.011098
100,100,0.011955
300,300,0.00015855
116,196,0.0083397
70,70,0.012399
180,180,0.015221
100,100,0.011637
300,300,0.010084
141,205,0.013128
70,70,0.0011098
180,180,0.010654
100,100,0.0019343
300,300,0.0011098
313,353,0.00025368
70,70,0.0084031
180,180,0.0016489
100,100,0.010464
300,300,0.001966
114,169,0.002949
70,70,0.0091324
180,180,0.0096715
100,100,0.0075152
300,300,0.0083397
196,212,0.010528
70,70,0.007864
180,180,0.001744
100,100,0.015855
300,300,0.011542
205,134,0.014016
70,70,0.004154
180,180,0.011416
100,100,0.004376
300,300,0.0084031
353,399,0.0021563
70,70,0.0055809
180,180,0.0045028
100,100,0.012716
300,300,0.0086885
169,48,0.011384
70,70,0.0089105
180,180,0.015284
100,100,0.00025368
300,300,0.014079
212,302,0.013477
70,70,0.0049784
180,180,0.015791
100,100,0.014618
300,300,0.008086
134,170,0.0089105
70,70,0.014016
180,180,0.010876
100,100,0.0080543
300,300,0.0098935
399,281,0.0022197
70,70,0.0059932
180,180,0.0073884
100,100,0.011986
300,300,0.012208
48,142,0.0020928
70,70,0.014777
180,180,0.013033
100,100,0.0066908
300,300,6.34E-05
302,84,0.005137
70,70,0.014047
180,180,0.0060249
100,100,0.012716
300,300,0.0013952
170,120,0.0079909
70,70,0.0022831
180,180,0.00079274
100,100,0.0047565
300,300,0.001966
281,302,0.012557
70,70,0.014587
180,180,0.015633
100,100,0.0065005
300,300,0.0097032
142,62,0.0028222
70,70,0.014079
180,180,0.014238
100,100,0.0078323
300,300,0.0032978
84,361,0.013921
70,70,0.0052321
180,180,0.0054858
100,100,0.012716
300,300,0.004154
120,180,0.0089422
70,70,0.0094812
180,180,0.0094812
100,100,0.015601
300,300,0.012906
302,93,0.011003
70,70,0.014047
180,180,0.0018709
100,100,0.00095129
300,300,0.014745
62,88,0.011859
70,70,0.0044077
180,180,0.0030124
100,100,0.01243
300,300,0.0028222
361,245,0.0081177
70,70,0.012145
180,180,0.0025368
100,100,0.00022197
300,300,0.010591
180,37,0.015379
70,70,0.012081
180,180,0.01075
100,100,0.010654
300,300,0.0034564
93,181,0.013921
70,70,0.0074518
180,180,0.01243
100,100,0.0011733
300,300,0.00072933
88,361,0.0026002
70,70,0.010369
180,180,0.0081811
100,100,0.01465
300,300,0.014904
245,344,0.011955
70,70,0.0044394
180,180,0.0049784
100,100,0.01316
300,300,0.0097032
37,348,0.010147
70,70,0.0058346
180,180,0.0048516
100,100,0.00041223
300,300,0.0054858
181,303,0.015411
70,70,0.00088787
180,180,0.01557
100,100,0.0071347
300,300,0.0038369
361,331,0.012303
70,70,0.0039637
180,180,0.0094812
100,100,0.0089739
300,300,0.014999
344,47,0.0079274
70,70,0.0022197
180,180,0.0010464
100,100,0.014174
300,300,0.011511
348,394,0.011764
70,70,0.0050419
180,180,0.0071981
100,100,0.010306
300,300,0.002727
303,254,0.0052321
70,70,0.0047882
180,180,0.0015221
100,100,0.0016806
300,300,0.010179
331,168,0.0077372
70,70,0.0085934
180,180,0.013318
100,100,0.014777
300,300,0.0013635
47,158,0.013223
70,70,0.0032978
180,180,0.0048516
100,100,0.011637
300,300,0.00072933
394,236,0.0050736
70,70,0.0015538
180,180,0.014174
100,100,0.0052638
300,300,0.012177
254,185,0.0091958
70,70,0.014143
180,180,0.010781
100,100,0.0051053
300,300,0.0016172
168,378,0.010115
70,70,0.010972
180,180,0.01113
100,100,0.0054224
300,300,0.014967
158,216,0.0025368
70,70,0.0073567
180,180,0.0036466
100,100,0.0031393
300,300,0.011859
236,230,0.0035832
70,70,0.0081177
180,180,0.00057078
100,100,0.0026002
300,300,0.0047248
185,273,0.014713
70,70,0.0020611
180,180,0.015665
100,100,0.015284
300,300,0.01224
378,200,0.0038686
70,70,0.0067859
180,180,0.0011098
100,100,0.011225
300,300,0.0033929
216,99,0.0018392
70,70,0.0092593
180,180,0.012177
100,100,0.015855
300,300,0.01132
230,246,0.01484
70,70,0.010813
180,180,0.014269
100,100,0.0074835
300,300,0.0073884
273,194,0.0096715
70,70,0.007103
180,180,0.0090056
100,100,0.007325
300,300,0.0084982
200,34,0.0085616
70,70,0.012747
180,180,0.010654
100,100,0.011447
