,Source_Location_X,,Source_Location_Y,,Source_Emission_rate
1.84509804,70,1.84509804,70,-3.799833754,0.00015855
2.255272505,180,2.255272505,180,-1.982924904,0.010401
2,100,2,100,-2.142782124,0.0071981
2.477121255,300,2.477121255,300,-2.601174933,0.0025051
2.342422681,220,2.509202522,323,-2.539763871,0.0028856
1.84509804,70,1.84509804,70,-1.817556814,0.015221
2.257678575,181,2.255272505,180,-1.852416418,0.014047
2,100,2,100,-2.438111872,0.0036466
2.477121255,300,2.477121255,300,-2.092266263,0.008086
1.86923172,74,2.346352974,222,-2.114989524,0.0076738
1.84509804,70,1.84509804,70,-1.967340954,0.010781
2.255272505,180,2.255272505,180,-2.061055195,0.0086885
2,100,2,100,-1.913355479,0.012208
2.477121255,300,2.477121255,300,-2.211004852,0.0061517
1.740362689,55,2.397940009,250,-1.838901644,0.014491
1.84509804,70,1.84509804,70,-1.817556814,0.015221
2.255272505,180,2.255272505,180,-2.606705644,0.0024734
2,100,2,100,-1.870406772,0.013477
2.477121255,300,2.477121255,300,-2.028984063,0.0093544
2.206825876,161,2.515873844,328,-2.799833754,0.0015855
1.84509804,70,1.84509804,70,-2.099130582,0.0079592
2.255272505,180,2.255272505,180,-2.311286595,0.0048833
2,100,2,100,-2.122231405,0.0075469
2.477121255,300,2.477121255,300,-2.051650618,0.0088787
2.509202522,323,1.69019608,49,-2.659952682,0.002188
1.84509804,70,1.84509804,70,-1.944927618,0.011352
2.255272505,180,2.255272505,180,-2.679272273,0.0020928
2,100,2,100,-2.26076003,0.0054858
2.477121255,300,2.477121255,300,-2.133316954,0.0073567
2.346352974,222,2.549003262,354,-1.820275904,0.015126
1.84509804,70,1.84509804,70,-1.894592014,0.012747
2.255272505,180,2.255272505,180,-2.362090189,0.0043442
2,100,2,100,-1.84269437,0.014365
2.477121255,300,2.477121255,300,-2.243531253,0.0057078
2.397940009,250,1.913813852,82,-2.158365272,0.0069444
1.84509804,70,1.84509804,70,-3.083835678,0.00082445
2.255272505,180,2.255272505,180,-1.901114106,0.012557
2,100,2,100,-1.808604883,0.015538
2.477121255,300,2.477121255,300,-1.90661334,0.012399
2.515873844,328,2.480006943,302,-1.938886946,0.011511
1.84509804,70,1.84509804,70,-2.358922687,0.004376
2.255272505,180,2.255272505,180,-2.104356495,0.007864
2,100,2,100,-1.813948209,0.015348
2.477121255,300,2.477121255,300,-3.457411073,0.00034881
1.69019608,49,2.598790507,397,-1.83698779,0.014555
1.84509804,70,1.84509804,70,-2.766420143,0.0017123
2.255272505,180,2.255272505,180,-1.816673203,0.015252
2,100,2,100,-1.883923828,0.013064
2.477121255,300,2.477121255,300,-2.250835908,0.0056126
2.549003262,354,2.542825427,349,-2.067445066,0.0085616
1.84509804,70,1.84509804,70,-2.172469189,0.0067225
2.255272505,180,2.255272505,180,-2.070673052,0.0084982
2,100,2,100,-1.890286495,0.012874
2.477121255,300,2.477121255,300,-2.26076003,0.0054858
1.913813852,82,2.36361198,231,-1.87972228,0.013191
1.84509804,70,1.84509804,70,-2.49448374,0.0032027
2.255272505,180,2.255272505,180,-2.419622512,0.0038052
2,100,2,100,-2.378231902,0.0041857
2.477121255,300,2.477121255,300,-1.972487308,0.010654
2.480006943,302,2.271841607,187,-2.692632344,0.0020294
1.84509804,70,1.84509804,70,-2.554317973,0.0027905
2.255272505,180,2.255272505,180,-2.051650618,0.0088787
2,100,2,100,-1.870406772,0.013477
2.477121255,300,2.477121255,300,-1.930590929,0.011733
2.598790507,397,2.588831726,388,-1.853375911,0.014016
1.84509804,70,1.84509804,70,-2.053203973,0.008847
2.255272505,180,2.255272505,180,-1.936516522,0.011574
2,100,2,100,-2.720652508,0.0019026
2.477121255,300,2.477121255,300,-1.811268329,0.015443
2.542825427,349,2.100370545,126,-1.889208339,0.012906
1.84509804,70,1.84509804,70,-1.836034017,0.014587
2.255272505,180,2.255272505,180,-2.314115013,0.0048516
2,100,2,100,-2.062642616,0.0086568
2.477121255,300,2.477121255,300,-2.265808449,0.0054224
2.36361198,231,1.875061263,75,-3.384860406,0.00041223
1.84509804,70,1.84509804,70,-2.093972198,0.0080543
2.255272505,180,2.255272505,180,-1.917897116,0.012081
2,100,2,100,-1.99774752,0.010052
2.477121255,300,2.477121255,300,-2.014506164,0.0096715
2.271841607,187,2.423245874,265,-2.706416487,0.001966
1.84509804,70,1.84509804,70,-1.943705113,0.011384
2.255272505,180,2.255272505,180,-2.355787972,0.0044077
2,100,2,100,-2.782805682,0.0016489
2.477121255,300,2.477121255,300,-1.986909862,0.010306
2.588831726,388,2.557507202,361,-1.930590929,0.011733
1.84509804,70,1.84509804,70,-1.94248604,0.011416
2.255272505,180,2.255272505,180,-2.742921694,0.0018075
2,100,2,100,-2.34044507,0.0045662
2.477121255,300,2.477121255,300,-2.142782124,0.0071981
2.100370545,126,2.26245109,183,-2.243531253,0.0057078
1.84509804,70,1.84509804,70,-1.911084653,0.012272
2.255272505,180,2.255272505,180,-2.343470594,0.0045345
2,100,2,100,-2.061055195,0.0086885
2.477121255,300,2.477121255,300,-2.371703048,0.0042491
1.875061263,75,1.579783597,38,-2.023136692,0.0094812
1.84509804,70,1.84509804,70,-2.334456531,0.0046296
2.255272505,180,2.255272505,180,-1.895649481,0.012716
2,100,2,100,-1.823041019,0.01503
2.477121255,300,2.477121255,300,-2.826697158,0.0014904
2.423245874,265,2.51851394,330,-2.423255646,0.0037735
1.84509804,70,1.84509804,70,-2.419622512,0.0038052
2.255272505,180,2.255272505,180,-1.968591536,0.01075
2,100,2,100,-1.845606462,0.014269
2.477121255,300,2.477121255,300,-1.967340954,0.010781
2.557507202,361,2.541579244,348,-2.265808449,0.0054224
1.84509804,70,1.84509804,70,-1.990931724,0.010211
2.255272505,180,2.255272505,180,-1.990931724,0.010211
2,100,2,100,-2.423255646,0.0037735
2.477121255,300,2.477121255,300,-1.93296636,0.011669
2.26245109,183,2.40654018,255,-2.498803758,0.003171
1.84509804,70,1.84509804,70,-2.967340954,0.0010781
2.255272505,180,2.255272505,180,-2.574530994,0.0026636
2,100,2,100,-2.030458291,0.0093227
2.477121255,300,2.477121255,300,-2.1314496,0.0073884
1.579783597,38,1.740362689,55,-2.352675722,0.0044394
1.84509804,70,1.84509804,70,-2.142782124,0.0071981
2.255272505,180,2.255272505,180,-2.95475528,0.0011098
2,100,2,100,-1.999132278,0.01002
2.477121255,300,2.477121255,300,-1.953504836,0.01113
2.51851394,330,1.447158031,28,-2.162348442,0.006881
1.84509804,70,1.84509804,70,-2.008849268,0.0097983
2.255272505,180,2.255272505,180,-2.097404304,0.0079909
2,100,2,100,-2.473505645,0.0033612
2.477121255,300,2.477121255,300,-2.258257658,0.0055175
2.541579244,348,1.62324929,42,-2.248389911,0.0056443
1.84509804,70,1.84509804,70,-1.869408948,0.013508
2.255272505,180,2.255272505,180,-1.819386749,0.015157
2,100,2,100,-2.294683775,0.0050736
2.477121255,300,2.477121255,300,-1.99366234,0.010147
2.40654018,255,2.5132176,326,-1.84269437,0.014365
1.84509804,70,1.84509804,70,-1.925951931,0.011859
2.255272505,180,2.255272505,180,-1.855363532,0.013952
2,100,2,100,-2.099130582,0.0079592
2.477121255,300,2.477121255,300,-2.248389911,0.0056443
1.740362689,55,2.257678575,181,-1.924781621,0.011891
1.84509804,70,1.84509804,70,-1.973752819,0.010623
2.255272505,180,2.255272505,180,-2.072296087,0.0084665
2,100,2,100,-1.966053797,0.010813
2.477121255,300,2.477121255,300,-2.014506164,0.0096715
1.447158031,28,2.475671188,299,-2.544561249,0.0028539
1.84509804,70,1.84509804,70,-2.735371042,0.0018392
2.255272505,180,2.255272505,180,-1.963530801,0.010876
2,100,2,100,-1.829503594,0.014808
2.477121255,300,2.477121255,300,-1.810397407,0.015474
1.62324929,42,2.477121255,300,-1.880744111,0.01316
1.84509804,70,1.84509804,70,-1.940095944,0.011479
2.255272505,180,2.255272505,180,-2.595713771,0.0025368
2,100,2,100,-3.720652508,0.00019026
2.477121255,300,2.477121255,300,-3.896743767,0.00012684
2.5132176,326,2.064457989,116,-2.316961972,0.0048199
1.84509804,70,1.84509804,70,-1.87972228,0.013191
2.255272505,180,2.255272505,180,-1.930590929,0.011733
2,100,2,100,-2.078849572,0.0083397
2.477121255,300,2.477121255,300,-1.929444984,0.011764
2.257678575,181,2.149219113,141,-2.521087361,0.0030124
1.84509804,70,1.84509804,70,-1.839831707,0.01446
2.255272505,180,2.255272505,180,-2.490206272,0.0032344
2,100,2,100,-1.931777021,0.011701
2.477121255,300,2.477121255,300,-2.374955206,0.0042174
2.475671188,299,2.495544338,313,-1.90661334,0.012399
1.84509804,70,1.84509804,70,-2.365270892,0.0043125
2.255272505,180,2.255272505,180,-2.758453519,0.001744
2,100,2,100,-1.986909862,0.010306
2.477121255,300,2.477121255,300,-1.871439193,0.013445
2.477121255,300,2.056904851,114,-1.828566099,0.01484
1.84509804,70,1.84509804,70,-2.164353811,0.0068493
2.255272505,180,2.255272505,180,-1.95475528,0.011098
2,100,2,100,-1.92245042,0.011955
2.477121255,300,2.477121255,300,-3.799833754,0.00015855
2.064457989,116,2.292256071,196,-2.078849572,0.0083397
1.84509804,70,1.84509804,70,-1.90661334,0.012399
2.255272505,180,2.255272505,180,-1.817556814,0.015221
2,100,2,100,-1.934158966,0.011637
2.477121255,300,2.477121255,300,-1.996367163,0.010084
2.149219113,141,2.311753861,205,-1.881801432,0.013128
1.84509804,70,1.84509804,70,-2.95475528,0.0011098
2.255272505,180,2.255272505,180,-1.972487308,0.010654
2,100,2,100,-2.713476168,0.0019343
2.477121255,300,2.477121255,300,-2.95475528,0.0011098
2.495544338,313,2.547774705,353,-3.595713771,0.00025368
1.84509804,70,1.84509804,70,-2.075560468,0.0084031
2.255272505,180,2.255272505,180,-2.782805682,0.0016489
2,100,2,100,-1.980302269,0.010464
2.477121255,300,2.477121255,300,-2.706416487,0.001966
2.056904851,114,2.227886705,169,-2.530325227,0.002949
1.84509804,70,1.84509804,70,-2.039415075,0.0091324
2.255272505,180,2.255272505,180,-2.014506164,0.0096715
