Source_Emission_rate,
0.00015855,-3.799833754
0.010401,-1.982924904
0.0071981,-2.142782124
0.0025051,-2.601174933
0.0028856,-2.539763871
0.015221,-1.817556814
0.014047,-1.852416418
0.0036466,-2.438111872
0.008086,-2.092266263
0.0076738,-2.114989524
0.010781,-1.967340954
0.0086885,-2.061055195
0.012208,-1.913355479
0.0061517,-2.211004852
0.014491,-1.838901644
0.015221,-1.817556814
0.0024734,-2.606705644
0.013477,-1.870406772
0.0093544,-2.028984063
0.0015855,-2.799833754
0.0079592,-2.099130582
0.0048833,-2.311286595
0.0075469,-2.122231405
0.0088787,-2.051650618
0.002188,-2.659952682
0.011352,-1.944927618
0.0020928,-2.679272273
0.0054858,-2.26076003
0.0073567,-2.133316954
0.015126,-1.820275904
0.012747,-1.894592014
0.0043442,-2.362090189
0.014365,-1.84269437
0.0057078,-2.243531253
0.0069444,-2.158365272
0.00082445,-3.083835678
0.012557,-1.901114106
0.015538,-1.808604883
0.012399,-1.90661334
0.011511,-1.938886946
0.004376,-2.358922687
0.007864,-2.104356495
0.015348,-1.813948209
0.00034881,-3.457411073
0.014555,-1.83698779
0.0017123,-2.766420143
0.015252,-1.816673203
0.013064,-1.883923828
0.0056126,-2.250835908
0.0085616,-2.067445066
0.0067225,-2.172469189
0.0084982,-2.070673052
0.012874,-1.890286495
0.0054858,-2.26076003
0.013191,-1.87972228
0.0032027,-2.49448374
0.0038052,-2.419622512
0.0041857,-2.378231902
0.010654,-1.972487308
0.0020294,-2.692632344
0.0027905,-2.554317973
0.0088787,-2.051650618
0.013477,-1.870406772
0.011733,-1.930590929
0.014016,-1.853375911
0.008847,-2.053203973
0.011574,-1.936516522
0.0019026,-2.720652508
0.015443,-1.811268329
0.012906,-1.889208339
0.014587,-1.836034017
0.0048516,-2.314115013
0.0086568,-2.062642616
0.0054224,-2.265808449
0.00041223,-3.384860406
0.0080543,-2.093972198
0.012081,-1.917897116
0.010052,-1.99774752
0.0096715,-2.014506164
0.001966,-2.706416487
