Receptor_measurement1,Receptor1_Log,Receptor_measurement2,Receptor2_Log,Receptor_measurement3,Receptor_measurement4,Receptor_measurement5,Wind_speed,Wind_speed_reci,Source_Location_X,Source_Location_Y,Log
0.042598,-2.741221582,0.013327,-3.750535205,0.090721,0.0071378,2.47E-05,2,0.5,70,70,-2.629579441
7.80E-06,-10.21581079,0.00019097,-7.438069704,1.53E-12,0.00024568,2.46E-05,13,0.076923077,180,180,-2.629579441
0.00036741,-6.869698055,0.00017149,-7.531522399,0.0031742,0.00010768,8.76E-07,19,0.052631579,100,100,-2.579730616
2.09E-21,-41.35970743,5.87E-06,-10.4627238,0,8.74E-05,0.00058581,17,0.058823529,300,300,-2.391591648
4.3331,1.273597424,0.59321,-0.453583073,0,0.23809,5.57E-07,1,1,342,67,-1.823041019
0.0033623,-4.946727079,0.0010519,-5.95605109,0.0071607,0.00056339,1.95E-06,17,0.058823529,70,70,-1.873478974
0.0013129,-5.763536703,0.032164,-2.985259893,2.58E-10,0.041379,0.0041363,2,0.5,180,180,-2.028984063
0.00091237,-6.079658007,0.00042584,-6.741507094,0.0078821,0.00026738,2.18E-06,17,0.058823529,100,100,-2.281323964
8.84E-20,-38.10709547,0.0002474,-7.213200609,0,0.0036841,0.024707,5,0.2,300,300,-1.829503594
0.0050183,-4.598886759,0.0011538,-5.875738931,0.00044389,0.00054077,2.05E-07,18,0.055555556,173,61,-1.858330783
0.0027172,-5.131756788,0.00085006,-6.141100839,0.0057868,0.0004553,1.58E-06,19,0.052631579,70,70,-1.869408948
7.27E-06,-10.27693118,0.00017806,-7.498867262,1.43E-12,0.00022908,2.29E-05,13,0.076923077,180,180,-2.659952682
0.013339,-3.749753455,0.0062257,-4.411623621,0.11524,0.0039091,3.18E-05,7,0.142857143,100,100,-1.88709351
2.96E-21,-41.05741658,8.28E-06,-10.16393933,0,0.00012327,0.00082666,8,0.125,300,300,-2.896743767
4.05E-13,-24.78508995,5.84E-05,-8.467174306,3.70E-291,0.00045358,0.0019918,14,0.071428571,227,291,-1.913355479
0.0050164,-4.599215682,0.0015694,-5.608532703,0.010683,0.00084055,2.91E-06,14,0.071428571,70,70,-1.868381336
1.54E-05,-9.624958558,0.00037834,-6.844235481,3.04E-12,0.00048673,4.87E-05,20,0.05,180,180,-1.958488887
0.028764,-3.08230144,0.013426,-3.744106714,0.2485,0.0084298,6.86E-05,5,0.2,100,100,-1.845606462
2.34E-20,-39.26156829,6.56E-05,-8.366192321,0,0.00097688,0.0065513,8,0.125,300,300,-1.99774752
4.50E-21,-40.69357497,3.86E-06,-10.82682539,0,0.00016634,0.0047038,10,0.1,227,372,-1.996367163
0.00082318,-6.169010379,0.00025753,-7.178344344,0.0017531,0.00013793,4.77E-07,20,0.05,70,70,-2.343470594
2.96E-05,-9.057416578,0.00072515,-6.279144297,5.82E-12,0.0009329,9.33E-05,13,0.076923077,180,180,-2.050097925
0.0027216,-5.130351407,0.0012703,-5.792187404,0.023513,0.00079761,6.49E-06,8,0.125,100,100,-2.461376004
2.02E-18,-35.38929726,0.005642,-4.497133836,0,0.084018,0.56345,1,1,300,300,-1.869408948
0.0050383,-4.595431953,0.0013735,-5.724342672,0.001512,0.00064904,7.47E-07,8,0.125,67,43,-2.378231902
0.0059484,-4.45119967,0.0018609,-5.460553928,0.012668,0.00099672,3.45E-06,6,0.166666667,70,70,-2.530325227
3.10E-05,-9.017276612,0.00075877,-6.239779697,6.09E-12,0.00097615,9.76E-05,14,0.071428571,180,180,-1.966053797
0.00033046,-6.961762203,0.00015424,-7.623605967,0.0028549,9.68E-05,7.88E-07,18,0.055555556,100,100,-2.672722823
1.39E-19,-37.7139704,0.00038904,-6.820011487,0,0.0057935,0.038853,4,0.25,300,300,-1.826697158
5.03E-06,-10.59686403,0.00048904,-6.621311234,3.17E-09,0.0011202,0.0013489,12,0.083333333,61,245,-1.828566099
0.0032985,-4.963367023,0.0010319,-5.972724775,0.0070249,0.00055271,1.91E-06,17,0.058823529,70,70,-1.881801432
8.37E-05,-8.154549084,0.0020498,-5.376577022,1.65E-11,0.002637,0.0002636,10,0.1,180,180,-1.826697158
0.0005672,-6.492527556,0.00026473,-7.154393681,0.0049002,0.00016623,1.35E-06,18,0.055555556,100,100,-2.438111872
1.53E-20,-39.63061714,4.28E-05,-8.737112462,0,0.00063794,0.0042782,9,0.111111111,300,300,-2.080503512
0.0009454,-6.048768804,0.00016464,-7.566929285,0,7.11E-05,1.53E-09,13,0.076923077,291,68,-3.100869228
0.080847,-2.184672182,0.025293,-3.193999312,0.17218,0.013547,4.69E-05,3,0.333333333,70,70,-1.999132278
0.0003297,-6.963762106,0.008077,-4.185499834,6.48E-11,0.010391,0.0010387,5,0.2,180,180,-1.83321478
0.0054016,-4.534955159,0.0025211,-5.196819855,0.046665,0.001583,1.29E-05,11,0.090909091,100,100,-1.88709351
1.40E-20,-39.70774393,3.92E-05,-8.813427866,0,0.00058362,0.003914,7,0.142857143,300,300,-2.337440478
5.15E-18,-34.57638554,0.00011211,-7.900711295,0,0.00035091,3.02E-05,12,0.083333333,372,212,-2.595713771
0.0002937,-7.064192107,9.19E-05,-8.073368977,0.00062549,4.92E-05,1.70E-07,14,0.071428571,70,70,-3.100869228
2.86E-05,-9.087267934,0.00070167,-6.307734183,5.63E-12,0.0009027,9.02E-05,15,0.066666667,180,180,-1.940095944
0.13543,-1.736570243,0.063212,-2.398400937,1.17,0.03969,0.0003229,2,0.5,100,100,-1.968591536
8.78E-20,-38.11301097,0.00024581,-7.218800906,0,0.0036605,0.024548,5,0.2,300,300,-1.832298765
0.014117,-3.700515171,0.0067481,-4.34163698,0.082551,0.0043758,6.88E-05,1,1,43,101,-3.498803758
0.0030117,-5.042376582,0.0009422,-6.0517138,0.006414,0.00050465,1.75E-06,17,0.058823529,70,70,-1.921325727
2.49E-05,-9.207601306,0.00061057,-6.428529077,4.90E-12,0.0007855,7.85E-05,15,0.066666667,180,180,-2.000495378
0.080967,-2.183383904,0.03779,-2.845246216,0.69949,0.023728,0.00019304,3,0.333333333,100,100,-1.839831707
5.73E-20,-38.48369076,0.0001604,-7.589591272,0,0.0023886,0.016019,3,0.333333333,300,300,-2.461376004
0.010752,-3.937021489,0.0022766,-5.285426537,5.20E-39,0.0010491,1.14E-07,14,0.071428571,245,70,-1.853375911
0.0083354,-4.158147109,0.0026077,-5.167484746,0.017752,0.0013967,4.83E-06,10,0.1,70,70,-1.940095944
2.94E-05,-9.063305339,0.00072087,-6.284286096,5.79E-12,0.00092739,9.27E-05,11,0.090909091,180,180,-2.197773762
0.00017756,-7.501309727,8.29E-05,-8.162890939,0.001534,5.20E-05,4.23E-07,3,0.333333333,100,100,-4.498940738
2.15E-19,-37.33512308,0.00060334,-6.438875762,0,0.0089847,0.060254,3,0.333333333,300,300,-1.886023242
1.40E-07,-13.70774393,7.99E-05,-8.194906441,4.37E-13,0.00025338,0.00056959,9,0.111111111,68,271,-2.629579441
0.054255,-2.531120464,0.016973,-3.540482778,0.11555,0.0090911,3.15E-05,4,0.25,70,70,-1.92245042
0.00019335,-7.427311647,0.0047368,-4.649029904,3.80E-11,0.0060939,0.00060914,6,0.166666667,180,180,-1.90661334
0.0054044,-4.534505029,0.0025225,-5.19633765,0.04669,0.0015838,1.29E-05,12,0.083333333,100,100,-1.811268329
2.63E-21,-41.1600885,7.36E-06,-10.26624437,0,0.00010957,0.00073481,15,0.066666667,300,300,-2.401899223
2.97E-08,-15.0544871,0.00016374,-7.571690428,3.48E-65,0.00040998,0.0002163,11,0.090909091,212,227,-2.465377466
0.014802,-3.6593592,0.0046309,-4.668669194,0.031525,0.0024803,8.58E-06,7,0.142857143,70,70,-2.000495378
0.00074769,-6.252556856,0.018317,-3.474291309,1.47E-10,0.023565,0.0023556,2,0.5,180,180,-2.273500998
0.0053662,-4.54066629,0.0025046,-5.202523248,0.04636,0.0015726,1.28E-05,9,0.111111111,100,100,-2.064235861
1.47E-19,-37.66536533,0.00041057,-6.773225575,0,0.006114,0.041002,4,0.25,300,300,-1.8033265
6.69E-08,-14.34914776,0.0054881,-4.521155968,4.28E-23,0.036595,0.23233,1,1,101,317,-2.146624283
0.10694,-1.94171964,0.033457,-2.951026007,0.22776,0.01792,6.20E-05,3,0.333333333,70,70,-1.877620268
3.16E-06,-11.00062583,7.75E-05,-8.221396595,6.22E-13,9.97E-05,9.97E-06,15,0.066666667,180,180,-2.896743767
0.0027965,-5.106770353,0.0013053,-5.768579324,0.02416,0.00081956,6.67E-06,12,0.083333333,100,100,-2.097404304
3.71E-21,-40.86125218,1.04E-05,-9.965933321,0,0.00015485,0.0010384,11,0.090909091,300,300,-2.521087361
1.67E-10,-19.55456706,0.00016256,-7.577972619,2.22E-26,0.0019416,0.025358,2,0.5,70,364,-2.512041907
0.014708,-3.664892758,0.0046015,-4.674201147,0.031325,0.0024646,8.53E-06,7,0.142857143,70,70,-2.003260733
6.99E-05,-8.311045649,0.0017122,-5.532891015,1.37E-11,0.0022027,0.00022018,9,0.111111111,180,180,-1.996367163
0.080256,-2.191044979,0.037459,-2.852887641,0.69335,0.02352,0.00019135,3,0.333333333,100,100,-1.843662899
9.34E-21,-40.05930625,2.62E-05,-9.163397417,0,0.00038958,0.0026126,9,0.111111111,300,300,-2.294683775
1.05E-19,-37.9576214,5.45E-06,-10.527207,0,9.20E-05,0.00089351,19,0.052631579,271,315,-2.166368483
0.77367,-0.222888486,0.24204,-1.232225711,1.6477,0.12964,0.00044858,1,1,70,70,-1.972487308
2.78E-05,-9.111910408,0.00068144,-6.333144755,5.47E-12,0.00087667,8.76E-05,16,0.0625,180,180,-1.896743767
0.0024565,-5.219366463,0.0011465,-5.881251882,0.021222,0.0007199,5.86E-06,11,0.090909091,100,100,-2.229295232
1.43E-21,-41.68932793,4.00E-06,-10.79588002,0,5.96E-05,0.00039936,19,0.052631579,300,300,-2.461376004
8.72E-21,-40.11896703,3.88E-06,-10.82233655,0,0.00015575,0.0041841,11,0.090909091,227,369,-1.97118483
0.0049731,-4.606745616,0.0015558,-5.616092466,0.010591,0.0008333,2.88E-06,13,0.076923077,70,70,-1.936516522
2.50E-06,-11.20411998,6.13E-05,-8.425079051,4.92E-13,7.89E-05,7.89E-06,8,0.125,180,180,-3.544561249
0.0015169,-5.638086097,0.00070799,-6.299945753,0.013105,0.00044454,3.62E-06,16,0.0625,100,100,-2.113199175
3.25E-20,-38.97623328,9.11E-05,-8.080963246,0,0.0013559,0.0090932,8,0.125,300,300,-1.855363532
0.0011765,-5.858816137,0.00049847,-6.604721948,0,0.00024933,1.17E-08,20,0.05,317,90,-2.273500998
0.00993,-4.006101503,0.0031066,-5.015429324,0.021148,0.0016639,5.76E-06,8,0.125,70,70,-2.057897653
0.00014786,-7.660298596,0.0036222,-4.882055148,2.91E-11,0.00466,0.00046582,6,0.166666667,180,180,-2.023136692
0.4826,-0.632825365,0.22525,-1.294670401,4.1693,0.14143,0.0011506,1,1,100,100,-2.018797722
4.69E-21,-40.65765431,1.31E-05,-9.765457409,0,0.0001954,0.0013104,18,0.055555556,300,300,-1.992294886
2.55E-47,-93.18691964,4.09E-06,-10.77655338,0,0.00038866,0.012758,5,0.2,364,343,-2.378231902
0.0011974,-5.843521492,0.00037459,-6.852887641,0.00255,0.00020063,6.94E-07,15,0.066666667,70,70,-2.43062609
