Receptor_measurement1,Receptor1_Log,Receptor_measurement2,Receptor2_Log,Receptor_measurement3,Receptor_measurement4,Receptor_measurement5,Wind_speed,Wind_speed_reci,Wind_speed_sqr_log,Source_Location_X,Source_Location_Y,Source_Emission_rate,Log
0.00031981,-6.990215921,0.00010005,-7.999565814,0.00068109,5.36E-05,1.85E-07,6,0.166666667,1.556302501,70,70,0.00015855,-3.799833754
2.28E-05,-9.284130306,0.00055878,-6.505518293,4.49E-12,0.00071887,7.19E-05,16,0.0625,2.408239965,180,180,0.010401,-1.982924904
0.0025191,-5.197509184,0.0011758,-5.859333088,0.021763,0.00073826,6.01E-06,12,0.083333333,2.158362492,100,100,0.0071981,-2.142782124
5.84E-21,-40.46717431,1.63E-05,-9.575624791,0,0.00024345,0.0016326,8,0.125,1.806179974,300,300,0.0025051,-2.601174933
3.05E-16,-31.03140032,4.06E-06,-10.78294793,3.67E-276,5.65E-05,0.00056984,15,0.066666667,2.352182518,220,323,0.0028856,-2.539763871
0.017269,-3.525465621,0.0054027,-4.534778294,0.036779,0.0028937,1.00E-05,8,0.125,1.806179974,70,70,0.015221,-1.817556814
0.00048215,-6.633635658,0.012082,-3.835722337,5.90E-11,0.015558,0.0015439,4,0.25,1.204119983,181,180,0.014047,-1.852416418
0.0022688,-5.288407573,0.0010589,-5.950290103,0.019601,0.0006649,5.41E-06,9,0.111111111,1.908485019,100,100,0.0036466,-2.438111872
1.21E-18,-35.83442926,0.0033772,-4.942886439,0,0.050292,0.33728,1,1,0,300,300,0.008086,-2.092266263
1.25E-05,-9.806179974,0.00044887,-6.695758839,6.10E-08,0.00081363,0.00052463,11,0.090909091,2.08278537,74,222,0.0076738,-2.114989524
0.0019572,-5.416729586,0.00061231,-6.426057296,0.0041683,0.00032795,1.13E-06,20,0.05,2.602059991,70,70,0.010781,-1.967340954
0.0048778,-4.623552021,0.1195,-1.845264189,9.59E-10,0.15373,0.015367,1,1,0,180,180,0.0086885,-2.061055195
0.003139,-5.006417369,0.0014651,-5.668265463,0.027118,0.00091992,7.48E-06,14,0.071428571,2.292256071,100,100,0.012208,-1.913355479
3.67E-20,-38.87066787,0.00010277,-7.976267287,0,0.0015305,0.010264,5,0.2,1.397940009,300,300,0.0061517,-2.211004852
