Receptor_measurement1,Receptor_measurement2,Receptor_measurement3,Receptor_measurement4,Receptor_measurement5,wind_x,wind_y,source_rate,source_rate_log,wind_speed
0.00051679,0.00029984,4.8246E-06,0.00012622,4.25E-08,-85.732,-49.497,0.014396,-1.841758162,20
0.000013739,0.00175,8.8704E-10,0.0039358,0.0039801,87.064,239.21,0.0084665,-2.072296087,5
0.0030282,0.0025726,0.014338,0.0021265,0.00018806,-36.603,136.6,0.010052,-1.99774752,8
2.32E-05,3.55E-05,2.97E-07,1.67E-05,8.07E-09,-387.58,-172.56,0.0082128,-2.085508753,20
0.000018298,0.00016306,0.000013808,0.00034323,0.00084525,-262.81,289.24,0.0035198,-2.453482013,8
0.0014414,0.00051026,0.00071687,0.00025479,1.22E-06,-96.054,23.949,0.010876,-1.963530801,18
0.00089568,0.0009906,0.0027914,0.0009754,0.00031357,-193.12,166.94,0.012557,-1.901114106,12
0.001009,0.00079379,0.0075466,0.00059852,1.80E-05,66.393,124.87,0.010052,-1.99774752,16
0.0029824,0.0050253,0.00002964,0.0023631,9.27E-07,-384.51,-179.3,0.012938,-1.888132853,2
0.008214,0.0037693,0.0020518,0.0018341,8.81E-06,-232.96,-22.164,0.013794,-1.860309778,6
0.0014715,0.00046651,0.0033597,0.00025167,9.31E-07,68.768,71.211,0.0066591,-2.176584463,18
2.7511E-06,0.00034612,2.4685E-10,0.00078588,0.00083069,82.876,240.69,0.015443,-1.811268329,15
0.0057526,0.0053808,0.027881,0.0045464,0.00040481,-19.682,140.05,0.002949,-2.530325227,3
4.22E-20,2.67E-06,0.00E+00,8.23E-05,0.0017691,231.07,355.82,0.009069,-2.042440598,16
0.00004186,0.00045329,0.000018016,0.00082211,0.0010177,-80.831,242.88,0.014301,-1.844633593,13
0.0018676,0.00071127,0.00035073,0.00033259,7.55E-07,-98.995,-1.55E-15,0.0065639,-2.182838044,11
0.00013835,0.00012831,1.8579E-06,5.66E-05,2.68E-08,-232.55,-103.54,0.0059932,-2.222341229,14
0.001234,0.00047451,0.0018235,0.00027173,4.77E-06,-129.19,57.521,0.0014269,-2.845606462,7
0.012978,0.0062096,0.0094955,0.0034968,0.00010448,-424.26,-6.66E-15,0.010496,-1.978976178,4
0.0012048,0.00060623,0.00044186,0.00031141,3.31E-06,-363.91,-32.762,0.0059614,-2.224651737,9
0.016382,0.0060662,0.028067,0.0034569,4.68E-05,-75.835,63.633,0.012272,-1.911084653,6
0.00006981,0.00023863,0.00011404,0.0003313,0.00025229,-134.9,215.88,0.01132,-1.946153573,19
0.0032863,0.0029372,7.5736E-06,0.0012225,1.92E-07,-114.41,-83.125,0.013635,-1.865344858,5
0.00094228,0.00060204,0.00016649,0.00029734,1.63E-06,-416.47,-80.953,0.011162,-1.952257982,10
3.58E-08,9.47E-07,2.01E-14,4.87E-07,7.48E-13,-203.94,-255.23,0.0016489,-2.782805682,19
0.23972,0.10943,0.010751,0.048052,4.12E-05,-95.16,-27.287,0.010433,-1.981590793,1
0.00019089,0.00042089,0.00043688,0.00051765,0.00030131,-156.72,200.59,0.01373,-1.862329463,17
0.00074649,0.00027673,0.0005352,0.00014449,1.23E-06,-138.33,29.403,0.0042174,-2.374955206,15
0.0007807,0.00057848,0.000083464,0.00027955,9.15E-07,-411.66,-102.64,0.0065322,-2.184940527,7
0.00094832,0.00060501,0.00016355,0.00029805,1.57E-06,-410.05,-80.393,0.013477,-1.870406772,11
0.00028444,0.00010178,0.00035718,5.57E-05,5.76E-07,-83.952,52.459,0.0013318,-2.875560989,15
0.000047318,0.00046803,0.00002299,0.00083086,0.0009861,-82.876,240.69,0.0068493,-2.164353811,9
1.29E-04,8.87E-05,5.65E-04,6.89E-05,5.27E-06,-64.204,126.01,0.0010464,-2.980302269,14
0.0012507,0.00069429,0.0023964,0.00050571,7.92E-05,-413.39,95.439,0.010242,-1.989615229,13
0.00061092,0.0002567,0.00046628,0.00013972,2.40E-06,-262.41,19.084,0.0084348,-2.073925211,20
0.017759,0.0070186,0.042802,0.00421,7.64E-05,-62.3,76.934,0.0095446,-2.020242268,5
4.47E-07,2.36E-05,1.11E-13,3.66E-05,8.18E-06,160.2,197.83,0.00044394,-3.352675722,14
0.00065757,0.00067079,0.0033663,0.00057063,4.42E-05,9.8651,141.08,0.012811,-1.892416969,18
0.00012435,0.00023109,9.4824E-07,0.00010886,3.45E-08,-381.33,-185.99,0.004154,-2.381533508,5
0.011803,0.013651,0.02843,0.01476,0.0099829,-401.96,192.91,0.015348,-1.813948209,3
0.0016669,0.00078399,0.000060884,0.00034194,2.58E-07,-94.15,-30.591,0.0062468,-2.204342398,9
0.000018983,0.00022298,7.1623E-06,0.00040955,0.00051128,-74.426,243.44,0.0060566,-2.217771108,12
0.022472,0.020033,0.14739,0.015833,0.00066237,52.977,131.12,0.0041857,-2.378231902,2
5.73E-19,5.68E-07,2.20E-128,2.09E-05,0.00056996,179.3,384.51,0.0043125,-2.365270892,17
0.0010927,0.00080985,0.0026979,0.00070266,0.00021725,-373.53,143.12,0.00371,-2.43062609,7
0.0013707,0.00055988,0.0037481,0.00034286,6.88E-06,-55.357,82.071,0.0030124,-2.521087361,10
0.00057338,0.00032795,0.000054475,0.00015211,3.28E-07,-248.03,-57.263,0.013191,-1.87972228,17
0.086599,0.064252,0.39318,0.051103,0.0041753,-55.258,130.18,0.01557,-1.807711387,2
7.85E-09,2.28E-06,1.07E-10,1.18E-05,9.10E-05,-192.61,378.02,0.0010464,-2.980302269,15
4.81E-05,2.38E-05,4.49E-05,1.42E-05,7.59E-07,-496.92,13.815,0.00082445,-3.083835678,18
0.017024,0.007262,0.0012425,0.0032469,3.82E-06,-97.176,-18.889,0.010274,-1.988260439,4
0.0038319,0.0024448,0.00022611,0.0011144,1.62E-06,-244.7,-70.166,0.0062151,-2.206551879,4
0.0025131,0.0012145,0.022162,0.00077204,6.89E-06,98.24,101.73,0.0033295,-2.477620981,8
4.08E-15,2.01E-06,4.11E-42,6.30E-05,0.0016412,80.953,416.47,0.010115,-1.995034113,12
0.000068495,0.0035199,2.9445E-09,0.0059593,0.0022523,127.92,209.1,0.0065005,-2.187053237,4
0.28192,0.11737,0.024744,0.05288,7.05E-05,-97.776,-15.486,0.010084,-1.996367163,1
0.00042661,0.000244,0.000040531,0.00011317,2.44E-07,-248.03,-57.263,0.011003,-1.958488887,18
0.00074637,0.00028702,0.00026657,0.00014089,6.44E-07,-141.23,7.4014,0.0042808,-2.368475062,14
5.55E-06,6.70E-05,3.31E-06,0.0001591,0.00049676,-289.35,310.29,0.0014904,-2.826697158,7
